Postal code ;Locality;Population
(april 2009);;(2008-12-31)
12841;BAGARMOSSEN         ;1265
12842;BAGARMOSSEN         ;854
12843;BAGARMOSSEN         ;1111
12844;BAGARMOSSEN         ;949
12845;BAGARMOSSEN         ;1713
12846;BAGARMOSSEN         ;1181
12847;BAGARMOSSEN         ;1872
12848;BAGARMOSSEN         ;1508
12862;SKÖNDAL             ;1065
12864;SKÖNDAL             ;623
12865;SKÖNDAL             ;78
12866;SKÖNDAL             ;1865
12867;SKÖNDAL             ;1195
12868;SKÖNDAL             ;1663
12869;SKÖNDAL             ;1059
12930;HÄGERSTEN           ;900
12931;HÄGERSTEN           ;1411
12932;HÄGERSTEN           ;1713
12933;HÄGERSTEN           ;1414
12934;HÄGERSTEN           ;1342
12935;HÄGERSTEN           ;1018
12936;HÄGERSTEN           ;1204
12937;HÄGERSTEN           ;1203
12938;HÄGERSTEN           ;1276
12939;HÄGERSTEN           ;1053
12940;HÄGERSTEN           ;1722
12941;HÄGERSTEN           ;808
12942;HÄGERSTEN           ;1480
12943;HÄGERSTEN           ;513
12944;HÄGERSTEN           ;1532
12945;HÄGERSTEN           ;1381
12946;HÄGERSTEN           ;1023
12947;HÄGERSTEN           ;797
12948;HÄGERSTEN           ;1094
12949;HÄGERSTEN           ;1545
12950;HÄGERSTEN           ;1158
12951;HÄGERSTEN           ;1181
12952;HÄGERSTEN           ;1157
12953;HÄGERSTEN           ;1104
12954;HÄGERSTEN           ;1230
12955;HÄGERSTEN           ;844
13025;INGMARSÖ            ;157
13033;GÄLLNÖBY            ;119
13034;SKÄLVIK             ;91
13036;NÄMDÖ               ;122
13038;RUNMARÖ             ;277
13039;SANDHAMN            ;130
13042;STAVSUDDA           ;62
13043;MÖJA                ;259
13054;DALARÖ              ;1942
13055;ORNÖ                ;233
13056;UTÖ                 ;195
13061;HÅRSFJÄRDEN         ;1
13130;NACKA               ;1
13131;NACKA               ;981
13132;NACKA               ;1706
13133;NACKA               ;950
13134;NACKA               ;1115
13135;NACKA               ;1144
13136;NACKA               ;1116
13137;NACKA               ;1175
13138;NACKA               ;985
13139;NACKA               ;928
13140;NACKA               ;1465
13141;NACKA               ;1620
13142;NACKA               ;1112
13143;NACKA               ;426
13144;NACKA               ;957
13145;NACKA               ;870
13146;NACKA               ;1746
13147;NACKA               ;2241
13148;NACKA               ;1845
13149;NACKA               ;1014
13150;SALTSJÖ-DUVNÄS      ;2143
13152;NACKA STRAND        ;578
13153;NACKA               ;140
13154;NACKA               ;23
13155;STOCKHOLM           ;283
13156;NACKA               ;146
13160;NACKA               ;483
13161;NACKA               ;876
13162;NACKA               ;51
13165;NACKA               ;1113
13171;NACKA               ;763
13172;NACKA               ;607
13173;NACKA               ;497
13230;SALTSJÖ-BOO         ;1123
13231;SALTSJÖ-BOO         ;1015
13232;SALTSJÖ-BOO         ;1762
13233;SALTSJÖ-BOO         ;1970
13234;SALTSJÖ-BOO         ;1444
13235;SALTSJÖ-BOO         ;2522
13236;SALTSJÖ-BOO         ;2568
13237;SALTSJÖ-BOO         ;1841
13238;SALTSJÖ-BOO         ;23
13239;SALTSJÖ-BOO         ;1763
13240;SALTSJÖ-BOO         ;943
13241;SALTSJÖ-BOO         ;777
13242;SALTSJÖ-BOO         ;1095
13243;SALTSJÖ-BOO         ;680
13244;SALTSJÖ-BOO         ;1221
13245;SALTSJÖ-BOO         ;1464
13246;SALTSJÖ-BOO         ;1686
13247;SALTSJÖ-BOO         ;1178
13248;SALTSJÖ-BOO         ;1186
13252;SALTSJÖ-BOO         ;1224
13331;SALTSJÖBADEN        ;881
13332;SALTSJÖBADEN        ;667
13333;SALTSJÖBADEN        ;1173
13334;SALTSJÖBADEN        ;1262
13335;SALTSJÖBADEN        ;1569
13336;SALTSJÖBADEN        ;2041
13337;SALTSJÖBADEN        ;684
13338;SALTSJÖBADEN        ;1698
13339;SALTSJÖBADEN        ;35
13341;SALTSJÖBADEN        ;1871
13342;SALTSJÖBADEN        ;1656
13343;SALTSJÖBADEN        ;2093
13344;SALTSJÖBADEN        ;1586
13348;SALTSJÖBADEN        ;39
13349;SALTSJÖBADEN        ;6
13431;GUSTAVSBERG         ;951
13432;GUSTAVSBERG         ;618
13433;GUSTAVSBERG         ;336
13434;GUSTAVSBERG         ;666
13435;GUSTAVSBERG         ;1033
13436;GUSTAVSBERG         ;875
13437;GUSTAVSBERG         ;959
13438;GUSTAVSBERG         ;354
13439;GUSTAVSBERG         ;923
13440;GUSTAVSBERG         ;1032
13441;GUSTAVSBERG         ;1163
13442;GUSTAVSBERG         ;1409
13443;GUSTAVSBERG         ;1462
13444;GUSTAVSBERG         ;2
13460;INGARÖ              ;1134
13461;INGARÖ              ;355
13462;INGARÖ              ;1181
13463;INGARÖ              ;560
13464;INGARÖ              ;742
13465;INGARÖ              ;912
13466;INGARÖ              ;708
13467;INGARÖ              ;576
13469;INGARÖ              ;417
13530;TYRESÖ              ;639
13533;TYRESÖ              ;1318
13534;TYRESÖ              ;1209
13535;TYRESÖ              ;1245
13536;TYRESÖ              ;1960
13537;TYRESÖ              ;723
13539;TYRESÖ              ;320
13540;TYRESÖ              ;1319
13541;TYRESÖ              ;1783
13542;TYRESÖ              ;1469
13543;TYRESÖ              ;1794
13544;TYRESÖ              ;2167
13545;TYRESÖ              ;1896
13546;TYRESÖ              ;1966
13547;TYRESÖ              ;1490
13548;TYRESÖ              ;18
13549;TYRESÖ              ;1906
13550;TYRESÖ              ;1929
13551;TYRESÖ              ;1251
13552;TYRESÖ              ;2369
13553;TYRESÖ              ;2120
13554;TYRESÖ              ;2396
13555;TYRESÖ              ;1670
13558;TYRESÖ              ;380
13559;TYRESÖ              ;16
13560;TYRESÖ              ;943
13561;TYRESÖ              ;798
13562;TYRESÖ              ;894
13563;TYRESÖ              ;1185
13567;TYRESÖ              ;898
13568;TYRESÖ              ;1177
13569;TYRESÖ              ;992
13570;STOCKHOLM           ;1
13637;HANDEN              ;150
13638;HANDEN              ;272
13639;HANDEN              ;650
13640;HANDEN              ;1289
13641;HANDEN              ;3036
13642;HANDEN              ;1727
13643;HANDEN              ;1680
13644;HANDEN              ;16
13645;HANDEN              ;1594
13646;HANDEN              ;1578
13647;HANINGE             ;629
13648;HANDEN              ;884
13649;HANINGE             ;2389
13650;HANINGE             ;97
13651;HANINGE             ;2738
13652;HANINGE             ;2350
13653;HANINGE             ;2565
13654;HANINGE             ;2273
13659;VENDELSÖ            ;1408
13660;HANINGE             ;2091
13661;HANINGE             ;2490
13662;HANINGE             ;1498
13663;HANINGE             ;1800
13664;HANINGE             ;2048
13665;HANINGE             ;1973
13666;VENDELSÖ            ;1509
13667;VENDELSÖ            ;1861
13668;VENDELSÖ            ;1278
13669;VENDELSÖ            ;1561
13670;VENDELSÖ            ;1547
13671;VENDELSÖ            ;1855
13672;VENDELSÖ            ;1839
13673;VENDELSÖ            ;1759
13675;VENDELSÖ            ;1226
13691;HANINGE             ;1305
13731;VÄSTERHANINGE       ;1290
13732;VÄSTERHANINGE       ;1855
13734;VÄSTERHANINGE       ;1285
13736;VÄSTERHANINGE       ;772
13737;VÄSTERHANINGE       ;875
13738;VÄSTERHANINGE       ;1834
13740;VÄSTERHANINGE       ;1403
13741;VÄSTERHANINGE       ;1017
13742;VÄSTERHANINGE       ;232
13754;TUNGELSTA           ;795
13755;TUNGELSTA           ;1407
13756;TUNGELSTA           ;1238
13757;TUNGELSTA           ;816
13791;VÄSTERHANINGE       ;697
13792;TUNGELSTA           ;345
13793;TUNGELSTA           ;710
13794;NORRA SORUNDA       ;739
13830;ÄLTA                ;155
13831;ÄLTA                ;1241
13832;ÄLTA                ;1115
13833;ÄLTA                ;1249
13834;ÄLTA                ;1795
13835;ÄLTA                ;920
13836;ÄLTA                ;1617
13837;ÄLTA                ;1507
13840;ÄLTA                ;5
13930;VÄRMDÖ              ;1187
13931;VÄRMDÖ              ;187
13932;VÄRMDÖ              ;1049
13933;VÄRMDÖ              ;464
13934;VÄRMDÖ              ;1036
13935;VÄRMDÖ              ;1193
13936;VÄRMDÖ              ;1458
13940;VÄRMDÖ              ;1221
13941;VÄRMDÖ              ;967
13950;VÄRMDÖ              ;783
13951;VÄRMDÖ              ;578
13952;VÄRMDÖ              ;49
13953;VÄRMDÖ              ;830
13954;VÄRMDÖ              ;883
13955;VÄRMDÖ              ;651
13956;VÄRMDÖ              ;587
13960;VÄRMDÖ              ;716
13970;STAVSNÄS            ;609
13971;STAVSNÄS            ;613
13972;DJURHAMN            ;301
13973;DJURHAMN            ;1207
13974;DJURHAMN            ;540
13975;DJURHAMN            ;319
13990;VÄRMDÖ              ;427
14130;HUDDINGE            ;941
14131;HUDDINGE            ;1563
14132;HUDDINGE            ;1659
14133;HUDDINGE            ;1588
14134;HUDDINGE            ;1069
14135;HUDDINGE            ;1451
14137;HUDDINGE            ;3078
14138;HUDDINGE            ;1745
14139;HUDDINGE            ;2004
14140;HUDDINGE            ;2728
14141;HUDDINGE            ;3086
14142;HUDDINGE            ;1813
14143;HUDDINGE            ;2232
14144;HUDDINGE            ;2687
14145;HUDDINGE            ;1714
14146;HUDDINGE            ;773
14147;HUDDINGE            ;1701
14148;HUDDINGE            ;2289
14149;HUDDINGE            ;1532
14150;HUDDINGE            ;2143
14151;HUDDINGE            ;914
14152;HUDDINGE            ;866
14153;HUDDINGE            ;1038
14154;HUDDINGE            ;1018
14155;HUDDINGE            ;1338
14156;HUDDINGE            ;1572
14159;HUDDINGE            ;1285
14160;HUDDINGE            ;1668
14161;HUDDINGE            ;1202
14162;HUDDINGE            ;761
14163;HUDDINGE            ;269
14168;HUDDINGE            ;132
